transactionAmount,paymentType,transactionVelocity,ipRisk,deviceRisk,geoDistance,impossibleTravel,hourOfDay,repeatedFailures,newDeviceFlag,fraudLabel
2081.3,0,6,10.93,12.98,64.53,0,3,1,0,1
770.71,1,1,21.2,41.58,160.25,0,19,0,0,0
15443.4,1,1,6.52,19.21,322.3,0,23,0,0,0
2929.71,1,2,19.86,10.18,91.47,0,3,0,1,1
21112.83,0,10,31.17,7.53,138.96,0,15,0,0,0
10629.16,1,3,21.5,30.38,276.31,0,21,1,1,0
1410.72,1,1,21.65,29.76,156.28,0,4,0,0,0
2878.46,1,0,29.46,26.53,7.89,1,16,1,0,0
3537.01,0,3,45.9,25.91,4187.32,1,9,5,0,1
14419.02,0,0,11.32,14.92,42.97,0,22,0,1,0
4853.8,0,1,7.65,37.75,277.2,0,16,0,1,0
3737.95,1,1,5.14,19.28,282.18,1,13,0,0,1
2566.04,0,0,25.7,13.37,87.72,0,16,0,1,0
2979.3,0,1,5.83,18.33,71.91,0,3,1,0,0
11551.75,0,1,15.58,76.37,125.37,0,14,0,0,0
3145.43,0,0,10.42,4.58,63.11,0,5,0,0,0
2111.18,0,1,41.56,23.8,158.96,0,11,0,0,0
1782.0,1,1,69.59,21.08,485.87,0,12,0,0,0
1801.25,1,1,40.59,10.84,90.27,0,13,0,0,0
771.17,1,0,41.11,87.45,3191.37,1,13,0,1,1
1479.74,0,0,23.7,5.16,21.43,0,10,0,0,0
14022.53,1,0,0.5,9.93,29.64,0,19,1,0,0
2548.86,0,0,29.78,48.06,113.14,0,22,0,0,0
6338.59,1,0,23.65,15.24,2329.41,1,21,0,0,1
262.76,0,2,4.78,37.13,87.56,0,7,0,0,0
5532.04,0,6,14.69,76.33,370.22,0,17,0,0,0
2666.83,0,0,23.51,27.0,2.11,0,16,1,0,1
1936.35,0,3,23.06,32.74,64.46,0,5,0,0,1
3755.44,0,0,17.26,63.97,248.37,0,15,1,0,0
1908.69,0,1,76.65,3.99,4.53,0,0,0,1,0
374.7,0,0,0.61,59.47,332.88,0,19,0,1,1
7881.3,0,0,28.59,27.74,12.58,0,10,0,0,0
3995.87,0,0,21.12,5.98,34.91,0,6,0,0,0
2289.43,1,3,6.7,18.52,83.91,0,1,0,0,0
69723.7,0,3,84.14,14.55,56.25,0,5,1,1,1
720.64,0,1,30.38,12.16,114.84,0,14,0,0,0
3920.18,0,4,13.59,11.39,11.89,0,23,0,0,1
15731.82,0,1,18.93,10.02,468.36,0,21,0,1,0
3839.77,1,1,4.48,49.74,16.81,0,15,0,0,1
70533.32,0,3,32.96,11.29,185.37,0,12,1,0,0
155992.62,1,0,27.8,3.47,45.31,0,17,0,0,0
2971.01,0,1,34.47,23.22,3302.37,1,9,0,0,1
7435.67,0,0,32.56,1.92,45.43,0,16,5,0,0
5748.72,0,2,8.63,21.4,46.72,0,15,0,0,0
158.25,1,1,32.71,5.87,37.95,0,23,0,0,0
5405.88,0,1,23.49,25.7,213.64,0,17,0,0,0
29769.48,0,0,44.59,14.99,2668.84,1,3,0,0,0
756.17,0,2,16.77,3.48,68.9,0,20,0,0,0
2595.48,0,6,9.46,6.69,80.07,0,8,0,0,0
4726.65,0,0,33.36,18.58,96.56,0,5,0,0,0
607.45,0,4,24.5,10.0,154.34,0,20,0,1,0
6339.63,0,2,1.89,67.99,1524.94,1,10,0,0,0
6723.33,1,1,22.57,22.14,362.61,0,17,0,0,0
3284.52,1,5,14.91,45.15,173.63,0,9,0,1,0
62485.67,0,1,24.04,1.57,265.29,0,12,0,0,0
1176.88,0,2,27.49,3.85,28.1,0,8,1,1,0
8742.33,0,0,4.49,37.04,4.78,0,18,0,0,0
691.44,1,2,93.36,92.97,128.2,0,5,3,0,1
9085.82,0,2,15.67,0.1,53.99,0,3,0,0,0
2656.6,1,2,17.47,50.18,89.02,0,18,1,1,0
2847.41,1,2,5.44,65.74,7.78,0,4,0,0,1
567.88,1,1,15.02,29.35,147.04,0,2,0,0,0
2706.15,0,1,41.09,12.35,27.46,0,14,0,0,1
5788.25,1,2,15.07,38.98,66.71,0,13,0,0,0
823.52,0,1,50.83,4.55,19.77,0,0,0,0,0
5159.71,0,1,12.81,9.15,51.01,0,8,2,1,0
3425.53,0,2,3.26,20.93,7.45,0,6,0,0,0
1646.23,0,0,20.04,8.03,164.55,0,0,0,0,0
7366.32,1,1,18.96,23.82,20.95,0,0,0,0,1
346.45,1,2,39.43,9.54,86.99,0,6,6,0,0
4432.33,0,3,1.57,11.56,98.65,0,16,0,1,0
15826.41,1,0,4.02,9.49,346.61,0,4,0,0,0
13226.04,0,2,19.05,4.42,74.2,0,3,0,0,0
4627.66,0,4,10.66,10.18,317.4,0,0,0,0,0
2317.67,0,4,16.58,17.57,3282.48,1,17,0,0,0
1659.38,1,1,4.45,17.93,424.6,0,21,0,0,0
2314.79,0,3,72.35,9.12,46.53,0,7,0,0,0
5398.13,0,1,20.91,17.46,235.64,0,0,1,0,0
1397.94,0,2,19.39,18.62,61.69,0,17,1,0,0
6683.68,1,2,12.27,21.99,57.73,0,0,1,0,1
26453.94,1,0,31.45,15.26,15.21,0,22,0,0,0
2945.74,1,1,13.75,23.66,645.31,0,9,0,0,0
816.97,1,7,7.64,18.32,7.87,0,17,7,1,1
816.69,1,0,11.82,9.87,13.26,0,10,0,0,1
6812.85,0,1,25.43,31.47,160.08,0,2,3,0,0
2952.05,0,1,15.82,13.65,113.57,0,22,0,0,0
7531.36,1,1,19.84,68.03,2835.4,1,8,0,0,1
1837.88,1,0,29.28,57.5,113.55,0,14,0,0,0
7191.27,0,2,1.39,8.77,120.01,0,13,0,0,0
2674.99,0,3,10.49,44.87,4.11,0,4,4,0,0
1506.43,1,1,78.47,5.99,17.44,0,1,1,0,1
2098.55,0,2,11.48,10.62,100.3,0,15,2,0,0
946.67,1,0,56.74,12.75,378.2,0,6,0,0,0
22910.71,0,1,6.64,7.43,235.75,0,8,0,0,0
2845.85,0,1,20.21,18.08,142.64,0,11,0,0,0
5970.07,1,3,4.91,7.83,145.22,0,9,1,1,0
1831.94,0,2,18.82,11.98,177.68,0,23,0,0,1
1094.52,0,2,21.61,21.61,102.92,0,9,0,1,0
2480.26,0,2,55.07,100.0,51.96,0,14,0,0,0
134967.1,1,0,25.4,2.73,4369.58,1,21,0,0,1
1861.74,0,1,15.63,5.78,316.94,0,1,5,0,0
1312.21,0,0,11.79,5.62,10.99,0,17,0,0,0
3660.9,1,2,3.78,23.09,3312.66,1,1,1,0,1
5161.71,1,2,24.43,12.57,14.69,0,4,0,0,0
16201.32,0,1,6.9,23.46,101.61,0,9,0,0,0
4463.78,0,0,31.64,4.17,63.85,0,6,0,0,0
5966.96,0,0,3.21,72.62,62.4,0,17,0,0,0
6433.51,0,1,14.12,28.75,207.83,0,4,0,0,0
989.29,0,0,9.61,41.33,134.34,0,16,0,0,0
1195.92,1,3,28.13,47.26,91.18,0,16,0,1,1
1060.08,0,2,15.33,3.61,96.07,0,21,0,1,0
827.04,0,1,4.51,99.69,188.27,0,12,1,0,1
6942.8,1,4,6.85,13.86,2031.35,1,17,1,0,1
4188.3,0,1,19.0,25.48,138.89,0,21,0,0,0
31122.8,0,0,6.25,13.16,156.29,0,22,3,0,0
234.46,1,0,10.54,11.08,69.49,0,6,0,0,0
24476.7,1,1,6.89,22.16,34.66,0,23,0,0,0
42425.62,1,1,10.64,13.07,14.91,0,21,0,1,0
24387.18,0,0,12.65,3.68,155.7,0,14,0,0,0
735.65,0,1,5.54,56.08,2180.19,1,3,0,0,0
1390.75,1,0,45.56,23.03,9.84,0,0,4,0,0
346.25,0,2,19.02,15.05,428.89,0,0,0,0,0
49186.83,0,1,1.87,20.6,360.22,0,23,0,1,1
1041.84,0,1,74.56,7.17,23.72,0,0,0,0,0
1071.7,1,0,26.37,6.44,17.91,0,17,0,0,1
794.32,1,0,19.89,11.9,67.39,0,21,1,0,0
6818.23,0,1,31.4,18.06,11.56,0,14,1,0,0
6383.45,1,0,19.47,11.75,1.53,0,23,0,0,0
19187.88,0,1,4.35,30.72,116.02,0,7,0,0,0
1578.6,0,1,34.66,86.48,72.79,0,9,0,0,0
3900.34,1,12,13.35,15.8,197.16,0,22,0,0,0
863.22,0,1,41.07,8.1,16.91,0,4,1,0,0
2241.64,0,1,81.18,22.77,111.55,0,2,0,0,1
1865.26,0,1,40.38,31.79,197.69,0,10,0,0,0
4986.3,1,1,19.54,12.94,279.12,0,3,0,0,0
8664.78,0,0,9.05,12.76,56.01,0,12,0,0,0
8442.78,1,1,5.61,14.67,137.76,0,11,0,0,0
1349.09,1,1,3.85,14.64,119.25,0,7,0,0,0
8505.5,0,5,41.15,45.55,238.3,0,11,0,1,0
2998.64,1,2,25.93,6.71,42.99,0,13,0,1,1
2265.17,0,13,10.55,21.84,20.77,0,21,0,0,1
1543.01,0,0,7.45,32.62,47.83,0,16,0,0,0
1790.17,1,1,52.03,24.11,292.32,0,19,0,0,0
17895.67,1,1,17.08,22.94,12.52,0,16,0,0,0
4261.65,0,1,25.85,31.2,100.89,0,6,0,0,0
3731.67,0,1,3.6,8.53,20.34,0,10,0,0,0
2410.89,0,1,5.18,28.78,2.5,0,10,0,0,0
36169.76,1,4,1.54,25.44,83.81,0,6,0,0,0
11556.58,0,0,34.41,20.82,32.62,0,3,0,0,0
1523.76,0,0,32.41,20.5,261.73,0,5,0,0,0
2383.64,0,1,24.3,32.06,253.79,0,13,0,0,0
2529.45,0,3,11.32,47.94,38.98,0,11,0,0,0
3625.95,1,12,29.71,7.69,54.91,0,15,0,1,0
1554.29,1,1,6.61,15.67,134.51,0,21,0,0,0
4860.11,0,3,8.2,18.7,74.87,0,7,0,0,0
13387.65,0,0,28.78,16.55,77.75,0,5,0,0,0
842.5,0,0,33.07,6.45,21.23,0,10,0,0,0
1014.2,1,1,9.79,22.39,5.12,0,22,0,0,1
1933.03,1,2,4.25,33.75,133.64,0,22,1,1,0
2024.76,0,1,18.55,14.59,86.43,0,21,1,0,0
23120.29,0,1,12.82,55.29,104.69,0,12,1,0,0
8533.11,0,2,8.95,4.87,124.96,0,12,0,0,0
61169.63,0,0,3.54,18.59,255.98,0,14,1,0,1
2405.79,1,1,11.31,82.6,298.6,0,16,0,0,0
2353.57,0,4,10.05,22.76,35.65,0,2,0,0,0
733.84,0,8,15.29,7.5,58.5,0,8,0,0,0
6848.19,1,3,32.84,21.95,61.5,0,5,0,0,0
5120.74,0,1,20.68,37.4,116.07,0,3,0,1,1
11338.93,0,1,0.95,56.8,190.43,0,5,2,0,0
2538.1,0,0,24.38,31.5,56.51,0,13,1,0,0
2719.55,0,1,16.0,3.24,404.76,0,18,0,0,0
30920.76,0,0,10.68,15.88,31.66,0,9,0,0,0
7645.69,0,8,100.0,5.27,159.51,0,21,0,0,0
93221.14,0,11,15.12,13.52,50.41,0,18,0,0,1
6542.38,0,2,7.08,8.53,207.68,0,20,0,0,0
3070.22,0,1,25.93,72.56,282.07,0,8,1,0,0
1087.2,1,2,9.71,8.69,71.0,0,21,1,0,0
389.71,0,1,4.47,18.88,2703.78,1,13,0,0,0
2734.01,0,1,14.07,7.34,148.48,0,18,0,0,0
13329.21,0,2,27.98,28.62,75.51,0,11,0,0,0
16725.41,1,1,36.01,11.29,80.59,0,17,0,0,1
4471.04,1,1,48.28,23.37,100.28,0,1,0,0,1
22292.5,0,0,49.82,1.81,50.5,0,15,0,0,0
3002.07,0,0,37.07,3.7,325.42,0,16,0,0,0
8129.9,0,0,17.22,34.31,21.57,0,13,0,0,0
1995.74,0,2,23.27,8.31,15.94,0,17,4,1,0
96992.31,0,0,17.53,8.65,95.13,0,18,0,0,0
1591.59,0,1,13.43,22.99,394.23,0,1,0,1,1
399.2,0,1,26.24,15.04,4182.98,1,3,0,1,0
11351.35,0,0,16.54,8.54,40.78,1,9,0,1,0
1649.73,0,1,20.74,9.22,40.03,0,11,1,1,0
105946.89,0,2,7.78,7.28,52.83,0,6,1,0,1
962.98,1,2,12.11,42.2,16.21,0,4,0,0,0
2554.57,0,0,32.46,17.19,146.54,0,8,1,0,0
18278.71,1,1,56.77,10.05,1.44,0,2,0,0,0
25432.39,0,0,1.98,10.56,13.44,0,6,0,0,0
595.34,1,0,25.38,62.9,329.0,0,20,1,0,0
2198.55,1,5,33.84,12.56,1.46,0,7,0,0,0
1113.92,1,0,37.81,18.35,93.17,0,21,0,0,0
8419.77,1,2,4.41,14.16,83.09,0,7,1,0,0
4173.85,1,1,9.34,6.91,336.68,0,3,0,0,0
1658.11,1,1,23.23,25.89,31.71,0,11,0,0,0
3369.68,1,2,27.55,28.65,75.05,0,11,0,0,0
1944.15,0,0,0.39,14.38,45.97,0,22,0,1,0
15744.5,0,12,21.87,18.21,4.64,0,10,0,0,1
5415.17,0,10,39.01,11.29,104.14,0,18,0,0,1
6123.1,1,1,79.08,6.78,2.91,0,3,0,0,0
217.69,0,6,8.97,26.13,15.75,0,5,0,0,0
2931.33,0,1,8.48,9.79,393.4,0,15,0,0,0
25165.04,1,1,36.66,59.76,66.7,0,8,0,0,0
11803.24,0,0,1.8,9.0,126.85,0,10,0,0,0
494.19,0,2,13.97,18.2,19.26,0,23,0,0,0
2290.61,0,0,30.77,34.31,173.12,0,8,0,0,0
942.45,0,0,17.99,14.23,102.82,0,21,1,0,0
17345.73,0,1,22.27,4.93,174.61,0,23,1,0,0
4000.91,0,1,20.31,20.28,100.28,0,4,0,0,0
1454.19,0,1,16.32,8.28,7.79,0,14,0,0,0
3242.69,0,1,15.24,15.59,62.66,0,10,0,0,0
231.05,0,2,89.08,12.75,146.85,0,12,0,0,1
1058.96,1,0,22.77,9.87,31.2,0,12,3,0,0
3250.11,0,1,6.85,29.93,919.33,1,11,0,0,1
7300.33,1,2,5.42,74.44,346.07,0,15,0,0,0
449.75,1,0,24.96,1.54,2735.72,1,6,0,0,0
2140.61,0,0,18.12,23.74,411.85,0,11,1,0,0
8601.45,0,1,22.07,8.53,48.73,0,1,1,0,0
734.03,0,0,20.89,94.83,73.21,0,3,1,0,0
3940.97,1,1,10.74,4.07,25.65,0,0,0,0,0
3347.52,1,0,8.1,15.5,307.02,0,22,0,0,0
17402.69,1,1,65.53,40.5,46.78,0,20,1,0,0
2489.57,0,2,40.05,9.61,249.71,0,6,0,0,1
2639.64,1,1,27.14,13.93,161.2,0,4,0,0,1
7368.43,0,2,44.8,45.44,146.47,0,8,0,0,0
831.85,1,2,85.77,8.68,357.1,0,5,1,0,0
2512.71,0,1,10.52,28.66,185.98,0,12,1,0,1
1986.79,1,2,12.06,38.1,199.66,0,21,0,0,0
2727.36,1,2,9.0,25.84,213.14,0,0,2,0,0
129466.96,0,1,13.7,7.02,288.15,0,19,4,0,1
5454.31,0,1,42.38,44.04,134.02,0,11,0,0,0
1482.25,0,1,73.1,33.36,68.61,0,11,0,0,0
3592.84,1,2,12.02,2.21,3213.88,1,12,0,0,0
13911.09,0,1,20.47,14.28,311.7,0,23,0,0,0
1364.62,1,0,18.42,37.1,22.13,0,11,0,0,0
3623.4,0,0,46.55,72.06,39.2,0,19,0,0,1
2583.34,1,0,25.81,6.9,6.1,0,9,0,0,0
2942.44,1,0,66.88,6.64,140.33,0,10,1,0,0
613.6,0,2,11.52,5.53,28.5,0,21,0,1,0
12845.68,1,2,8.24,38.22,40.94,0,13,0,0,0
1444.69,1,2,18.11,39.34,251.34,0,10,2,0,0
8743.55,1,2,16.84,25.99,29.32,0,14,0,1,1
1683.49,0,2,7.44,12.88,1041.94,1,8,1,0,0
1676.55,0,2,8.56,14.17,375.75,0,14,2,0,0
10542.01,0,0,2.72,23.61,47.79,0,19,0,0,0
8466.6,0,0,63.39,3.29,466.76,0,19,5,0,0
3860.94,0,3,8.86,22.71,268.83,0,17,1,0,0
6708.63,0,1,4.4,35.08,12.0,0,13,1,1,0
2348.3,0,3,41.47,31.62,59.35,0,7,0,0,0
3107.68,0,0,9.53,13.42,40.91,0,20,1,0,0
1617.08,0,0,12.02,45.0,6.58,0,13,0,1,0
7739.29,1,1,34.72,74.31,67.28,0,16,1,0,0
1566.48,1,1,30.53,14.42,34.35,0,9,1,0,0
13837.76,0,1,29.82,22.22,229.81,0,22,0,0,0
2285.1,0,0,50.84,12.37,69.22,0,13,0,0,1
3198.73,1,1,8.23,20.11,185.54,0,9,0,0,0
6692.4,0,1,19.68,20.74,95.21,0,1,0,0,0
3209.48,0,1,12.81,8.31,76.68,0,18,0,0,0
2326.43,0,1,18.58,9.2,163.87,0,19,0,0,0
3041.11,1,6,28.54,7.77,179.78,0,18,2,0,0
7660.39,0,0,78.67,12.16,15.59,0,8,0,0,0
1615.09,1,0,17.43,23.49,270.4,0,13,0,0,0
2762.15,1,1,5.38,14.36,12.94,0,1,0,0,0
3166.2,0,2,48.05,12.8,43.77,0,13,0,1,0
7439.7,1,1,11.76,14.59,149.44,0,0,0,0,0
2836.01,1,0,19.67,3.75,182.5,0,15,0,0,0
19116.35,0,2,12.96,42.08,141.53,0,17,0,1,0
2679.7,0,15,8.52,13.08,70.28,0,17,0,1,0
2470.85,0,3,26.23,22.0,15.32,0,14,0,0,0
2641.15,0,0,16.07,9.57,145.11,0,13,0,0,0
839.96,0,0,25.45,20.93,248.6,0,17,1,0,1
1111.29,1,1,5.04,20.16,0.48,0,3,0,0,1
1843.34,0,0,5.09,13.18,272.96,0,17,0,1,0
159460.11,0,2,3.57,6.79,35.48,1,22,0,0,1
3031.69,1,5,4.91,63.0,244.03,0,2,0,0,1
1930.16,0,2,11.58,14.8,1617.69,1,0,0,0,0
10684.34,1,2,4.01,1.7,7.01,0,12,0,0,0
14782.17,1,1,28.95,16.57,101.7,0,3,0,0,0
10997.05,0,0,9.8,97.22,22.95,0,21,0,0,0
1335.3,0,0,39.73,12.91,134.98,0,6,0,0,0
1909.8,1,1,5.96,8.29,237.38,0,19,2,0,1
19220.56,1,2,46.75,8.46,89.1,0,7,0,0,1
3988.38,1,0,21.76,17.44,67.26,0,7,0,0,0
2397.96,0,2,4.27,28.82,20.08,1,10,1,0,1
6427.55,1,1,22.55,2.23,103.96,0,13,1,0,0
8580.94,1,2,45.21,87.32,27.05,0,12,1,1,1
35882.77,0,2,61.32,28.29,314.48,0,11,0,0,0
3902.76,0,2,3.76,11.33,8.05,0,2,0,0,0
7915.36,1,2,3.03,14.54,75.68,0,19,0,0,0
982.12,0,3,19.28,37.5,104.5,0,19,0,0,0
3172.72,0,0,21.69,24.45,463.83,0,22,0,1,0
1028.25,1,0,28.39,71.97,7.27,1,20,2,0,1
1171.94,0,2,1.06,22.54,19.04,0,14,0,0,0
1784.51,0,0,3.92,21.48,26.17,0,17,0,0,0
5049.88,0,0,4.9,29.32,186.11,0,8,1,0,0
2271.0,0,0,71.73,15.21,3.81,0,11,0,1,0
1638.57,1,1,1.68,19.42,15.75,0,7,1,0,1
3299.59,1,0,9.82,27.22,100.03,0,19,0,0,0
995.29,0,4,15.17,15.81,2227.5,1,6,7,1,1
4811.69,1,1,4.99,60.55,5.18,0,10,0,0,0
9714.62,1,0,7.82,48.06,33.37,0,6,0,0,1
2895.16,0,3,2.06,24.05,133.03,0,6,1,0,0
2558.95,1,0,34.54,12.99,86.88,0,10,0,0,0
4552.54,0,1,36.58,23.42,130.92,0,11,4,0,0
412.21,1,0,4.62,31.91,68.8,0,0,0,0,0
144978.68,1,2,98.98,10.38,11.44,0,21,0,0,0
69695.14,1,8,43.13,7.82,85.91,0,11,6,0,1
2772.0,0,3,67.46,12.78,134.7,0,11,0,0,0
2781.86,1,1,10.15,48.88,221.69,0,3,0,0,0
6591.97,0,3,50.93,10.75,15.72,0,23,0,0,0
16241.62,0,0,23.24,14.39,24.18,0,6,0,0,0
8307.95,0,1,32.91,33.66,142.0,0,23,3,0,1
363.0,1,2,15.49,12.58,104.89,0,20,0,1,1
5504.93,0,2,28.31,10.53,19.48,0,9,0,0,0
66877.69,1,0,10.85,10.1,131.95,1,11,1,1,1
5839.74,1,0,11.74,6.49,219.76,0,11,0,0,0
987.72,0,9,0.61,13.7,120.6,0,13,1,0,0
4154.01,0,0,6.83,34.85,6.71,0,19,0,0,0
870.71,0,1,5.73,19.19,54.65,0,18,0,1,0
145246.11,0,0,7.57,67.21,52.44,0,0,0,0,1
1204.86,1,1,22.4,8.23,27.05,0,8,0,0,0
3375.31,0,2,20.24,7.65,1880.99,1,9,0,1,0
1329.05,1,2,6.95,4.4,420.65,0,2,0,0,0
1814.48,0,0,36.75,5.41,240.57,0,12,0,0,0
13851.53,1,0,39.71,16.87,351.65,0,5,1,0,1
3475.37,1,1,6.34,40.76,37.79,0,2,3,0,0
1791.48,1,1,25.26,11.12,2.86,0,9,0,1,0
997.02,1,0,100.0,35.63,17.01,0,12,0,1,1
37083.93,1,2,46.78,9.65,30.19,0,9,0,0,1
896.7,0,0,16.18,21.25,1573.03,1,1,0,1,1
3505.05,0,2,36.08,18.85,181.0,0,3,0,1,1
8351.81,0,0,12.9,4.34,152.42,0,4,0,0,0
1789.42,0,1,32.03,23.63,70.32,1,20,0,1,1
15071.24,1,6,40.76,43.69,112.75,0,10,0,1,1
1529.2,1,1,43.27,3.9,27.47,0,20,1,0,0
2470.04,1,1,7.98,11.56,99.6,0,14,0,0,0
1064.67,0,1,2.54,15.99,91.15,0,2,0,0,0
8440.2,1,0,5.46,4.65,115.3,0,22,0,0,0
25527.48,0,2,33.61,7.28,156.28,0,10,3,0,0
538.17,0,0,12.1,20.57,32.78,0,8,0,1,0
2216.84,1,7,38.54,15.35,2123.17,1,4,0,0,1
11100.88,1,0,35.03,71.19,355.49,1,16,0,0,1
